interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race,household_income,education,state,congress_district,age,vote_trump,vote_biden,education_level,income_level
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",nevada,NV01,69,0,1,7,7
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,unemployed,The United States,Male,Northeast,Not Hispanic,white,"$15,000 to $19,999",High school graduate,connecticut,CT02,39,0,1,3,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,black/african american/negro,"$100,000 to $124,999","Completed some graduate, but no degree",california,CA07,39,0,1,8,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",virginia,VA09,68,0,1,7,6
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",texas,TX30,24,0,1,7,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$15,000 to $19,999","Completed some college, but no degree",florida,FL09,50,0,1,5,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$95,000 to $99,999","Completed some college, but no degree",florida,FL08,57,0,0,5,17
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",indiana,IN01,35,0,0,7,18
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999",High school graduate,michigan,MI01,51,1,0,3,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",louisiana,LA04,72,0,0,5,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,other asian or pacific islander,"$45,000 to $49,999","Completed some college, but no degree",hawaii,HI01,29,1,0,5,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$40,000 to $44,999",Masters degree,indiana,IN08,78,1,0,9,6
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,Another country,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",georgia,GA12,60,1,0,5,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",Masters degree,georgia,GA01,48,0,1,9,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999",Masters degree,connecticut,CT02,65,1,0,9,22
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",pennsylvania,PA16,63,1,0,7,9
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",california,CA33,45,0,1,7,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,north carolina,NC13,70,1,0,3,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,new york,NY06,39,1,0,9,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Doctorate degree,massachusetts,MA04,73,0,1,10,23
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",maryland,MD03,45,1,0,7,20
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$15,000 to $19,999",Associate Degree,ohio,OH13,40,0,1,6,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999","Completed some graduate, but no degree",new york,NY23,69,1,0,8,8
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,tennessee,TN02,31,0,1,9,20
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Other Hispanic,white,"$50,000 to $54,999",Masters degree,georgia,GA10,36,0,1,9,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,washington,WA10,39,1,0,10,22
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,NA,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999",Completed some high school,florida,FL02,41,0,1,NA,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Male,South,Not Hispanic,"other race, nec","$45,000 to $49,999","College Degree (such as B.A., B.S.)",north carolina,NC08,37,0,1,7,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$75,000 to $79,999",High school graduate,west virginia,WV02,59,1,0,3,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$200,000 to $249,999",Masters degree,florida,FL27,71,1,0,9,22
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999",High school graduate,minnesota,MN02,58,0,1,3,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",indiana,IN03,65,1,0,5,8
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",ohio,OH13,45,0,1,5,1
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Female,South,Not Hispanic,white,"$125,000 to $149,999",Masters degree,florida,FL22,46,0,1,9,19
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,new york,NY25,41,0,1,6,18
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",florida,FL19,31,0,1,7,5
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",maine,ME02,67,1,0,7,0
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$80,000 to $84,999","Completed some college, but no degree",florida,FL15,66,0,1,5,14
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$20,000 to $24,999",High school graduate,rhode island,RI01,63,1,0,3,2
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,virginia,VA10,61,1,0,6,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$60,000 to $64,999",Masters degree,pennsylvania,PA12,75,1,0,9,10
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",ohio,OH07,46,1,0,5,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",pennsylvania,PA03,79,1,0,7,8
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",virginia,VA03,67,1,0,5,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",illinois,IL13,31,1,0,5,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",kentucky,KY04,41,0,1,7,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",south carolina,SC07,24,0,1,7,14
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,colorado,CO05,44,1,0,NA,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",colorado,CO03,81,1,0,7,17
Most of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",georgia,GA12,57,0,0,7,17
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999",Masters degree,new york,NY13,44,0,1,9,22
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999",High school graduate,new york,NY22,60,1,0,3,8
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",kansas,KS04,68,0,1,7,7
Only now and then,Not registered,Someone else:,"No, I will not vote but I am eligible",Joe Biden,Liberal,unemployed,The United States,Male,West,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,arizona,AZ08,20,0,1,NA,1
Some of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Ecuadorian,chinese,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",pennsylvania,PA03,28,1,0,7,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,South,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",delaware,DE00,56,0,1,5,5
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",texas,TX26,75,0,0,5,8
Most of the time,Registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$150,000 to $174,999",Doctorate degree,california,CA37,29,1,0,10,20
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$175,000 to $199,999",Masters degree,texas,TX24,40,0,1,9,21
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,north carolina,NC13,56,1,0,6,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,new york,NY10,40,1,0,10,22
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999",Completed some high school,west virginia,WV03,19,1,0,NA,6
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Not Sure,employed,Another country,Female,South,Not Hispanic,other asian or pacific islander,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",maryland,MD02,38,1,0,7,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,japanese,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",vermont,VT00,57,0,1,7,21
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",north carolina,NC10,31,0,1,5,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$250,000 and above","Completed some graduate, but no degree",wisconsin,WI05,61,1,0,8,23
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,illinois,IL12,37,0,1,6,4
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Not Sure,employed,The United States,Male,Northeast,Not Hispanic,white,"$70,000 to $74,999",High school graduate,pennsylvania,PA15,52,1,0,3,12
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$85,000 to $89,999",Associate Degree,south carolina,SC05,46,1,0,6,15
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",illinois,IL05,30,0,1,7,3
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",pennsylvania,PA17,71,1,0,5,13
Most of the time,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Donald Trump,Very Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Completed some high school,louisiana,LA06,61,1,0,NA,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",minnesota,MN05,62,0,1,7,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,texas,TX32,66,1,0,NA,4
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999",High school graduate,illinois,IL04,60,0,1,3,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999","Completed some graduate, but no degree",missouri,MO07,77,1,0,8,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,South,Not Hispanic,white,"$20,000 to $24,999",Doctorate degree,north carolina,NC08,61,0,1,10,2
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,white,"$30,000 to $34,999",Other post high school vocational training,west virginia,WV03,30,0,1,4,4
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Male,Midwest,Not Hispanic,white,"$20,000 to $24,999",High school graduate,ohio,OH11,60,0,1,3,2
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Male,South,Not Hispanic,"other race, nec","$50,000 to $54,999","Completed some college, but no degree",virginia,VA11,37,0,0,5,8
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,employed,Another country,Female,South,Not Hispanic,white,"$150,000 to $174,999",Associate Degree,texas,TX26,62,0,0,6,20
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,South,Not Hispanic,american indian or alaska native,"$150,000 to $174,999",High school graduate,oklahoma,OK01,19,0,0,3,20
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",new jersey,NJ04,31,0,1,7,19
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Masters degree,new york,NY12,43,1,0,9,23
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",new york,NY11,71,1,0,7,5
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",illinois,IL14,63,1,0,7,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,"$90,000 to $94,999",Completed some high school,california,CA13,58,0,1,NA,16
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",new jersey,NJ07,58,0,0,7,19
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,new york,NY07,37,1,0,9,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",ohio,OH08,70,0,1,7,17
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Mexican,white,"$250,000 and above",High school graduate,kentucky,KY01,62,1,0,3,23
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",ohio,OH05,65,1,0,7,11
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999",High school graduate,arizona,AZ06,32,1,0,3,2
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",michigan,MI09,45,1,0,7,12
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Male,South,Spanish,white,"$40,000 to $44,999",High school graduate,texas,TX35,26,1,0,3,6
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999",High school graduate,alabama,AL03,69,1,0,3,6
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Liberal,not in labor force,Another country,Male,Northeast,Not Hispanic,black/african american/negro,"Less than $14,999","College Degree (such as B.A., B.S.)",pennsylvania,PA03,56,0,1,7,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",new york,NY11,40,1,0,7,10
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$125,000 to $149,999",Doctorate degree,ohio,OH15,39,1,0,10,19
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",new york,NY12,41,0,0,7,8
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,Another country,Male,South,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,virginia,VA08,63,0,1,10,22
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",ohio,OH13,55,0,1,5,0
Most of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,white,"$65,000 to $69,999","Completed some college, but no degree",texas,TX14,31,0,1,5,11
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999",Masters degree,new jersey,NJ04,45,1,0,9,19
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Male,South,Not Hispanic,"other race, nec","$60,000 to $64,999",Masters degree,virginia,VA11,69,1,0,9,10
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$50,000 to $54,999",Masters degree,idaho,ID02,70,1,0,9,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,black/african american/negro,"Less than $14,999",Completed some high school,california,CA47,49,0,1,NA,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",south carolina,SC04,54,1,0,5,5
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",High school graduate,north carolina,NC02,29,0,1,3,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",arizona,AZ03,64,0,1,7,15
Hardly at all,Registered,Donald Trump,Not sure,Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$250,000 and above","College Degree (such as B.A., B.S.)",california,CA49,47,1,0,7,23
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999",Other post high school vocational training,indiana,IN03,69,1,0,4,6
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",washington,WA07,21,0,1,7,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$20,000 to $24,999",Other post high school vocational training,new jersey,NJ12,40,1,0,4,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$20,000 to $24,999",High school graduate,wisconsin,WI06,62,0,1,3,2
Only now and then,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$35,000 to $39,999",Other post high school vocational training,nebraska,NE01,42,1,0,4,5
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,american indian or alaska native,"$80,000 to $84,999",High school graduate,georgia,GA07,54,1,0,3,14
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,japanese,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",hawaii,HI01,62,0,1,7,13
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$20,000 to $24,999",Associate Degree,indiana,IN07,47,1,0,6,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,other asian or pacific islander,"$25,000 to $29,999","Completed some college, but no degree",indiana,IN09,31,0,1,5,3
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",ohio,OH02,66,0,1,5,16
Most of the time,Not registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,Another country,Male,Midwest,Not Hispanic,black/african american/negro,"$45,000 to $49,999","Completed some college, but no degree",illinois,IL09,54,0,1,5,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",texas,TX01,28,1,0,7,5
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999",Other post high school vocational training,california,CA31,52,0,0,4,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",new york,NY07,46,0,1,7,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",tennessee,TN09,67,1,0,5,2
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",florida,FL15,72,1,0,7,8
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$60,000 to $64,999",Masters degree,south carolina,SC04,59,1,0,9,10
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",Associate Degree,kentucky,KY05,65,1,0,6,1
